Training Initiated .... 
Thu Dec 9 21:48:47 IST 2021
Training Halted/Crashed at .... 
Thu Dec 9 21:48:48 IST 2021
Training Initiated .... 
Thu Dec 9 21:55:57 IST 2021
space_443
Training Halted/Crashed at .... 
Thu Dec 9 21:55:59 IST 2021
Training Initiated .... 
Thu Dec 9 21:59:02 IST 2021
space_443
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Training Halted/Crashed at .... 
Thu Dec 9 21:59:04 IST 2021
Training Initiated .... 
Thu Dec 9 22:05:20 IST 2021
space_443
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Training Halted/Crashed at .... 
Thu Dec 9 22:05:21 IST 2021
Training Initiated .... 
Thu Dec 9 22:11:06 IST 2021
space_443
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
512
Loaded: 0.245590 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.510589, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.171135, Class: 0.430814, Obj: 0.589217, No Obj: 0.516941, .5R: 0.000000, .75R: 0.000000,  count: 29
Region 106 Avg IOU: 0.104012, Class: 0.471681, Obj: 0.207239, No Obj: 0.438713, .5R: 0.028926, .75R: 0.000000,  count: 242
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.510960, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.516355, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.090909, Class: 0.545798, Obj: 0.232211, No Obj: 0.443330, .5R: 0.004329, .75R: 0.000000,  count: 231
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.507096, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.515428, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.077637, Class: 0.517819, Obj: 0.264278, No Obj: 0.455120, .5R: 0.010753, .75R: 0.000000,  count: 186
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.508174, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.517910, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.073342, Class: 0.494660, Obj: 0.230361, No Obj: 0.451995, .5R: 0.005319, .75R: 0.000000,  count: 188
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.512963, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514099, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.113646, Class: 0.511531, Obj: 0.220991, No Obj: 0.449209, .5R: 0.026718, .75R: 0.000000,  count: 262
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.506236, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.234513, Class: 0.471354, Obj: 0.727562, No Obj: 0.516346, .5R: 0.071429, .75R: 0.000000,  count: 56
Region 106 Avg IOU: 0.150997, Class: 0.525236, Obj: 0.326774, No Obj: 0.438550, .5R: 0.010811, .75R: 0.000000,  count: 185
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.507290, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.521660, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.145287, Class: 0.492577, Obj: 0.303673, No Obj: 0.432386, .5R: 0.016181, .75R: 0.000000,  count: 309
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.510073, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.517422, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.130868, Class: 0.503786, Obj: 0.260772, No Obj: 0.460528, .5R: 0.023697, .75R: 0.004739,  count: 211
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.509135, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.517380, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.095555, Class: 0.480383, Obj: 0.241928, No Obj: 0.452046, .5R: 0.004717, .75R: 0.000000,  count: 212
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.509289, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.322095, Class: 0.499601, Obj: 0.652381, No Obj: 0.522156, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.143651, Class: 0.513802, Obj: 0.274235, No Obj: 0.443979, .5R: 0.057692, .75R: 0.000000,  count: 260
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.509695, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.518810, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.150756, Class: 0.484684, Obj: 0.313957, No Obj: 0.447086, .5R: 0.037815, .75R: 0.000000,  count: 238
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.511076, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.518202, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.134074, Class: 0.506070, Obj: 0.254348, No Obj: 0.445577, .5R: 0.044534, .75R: 0.000000,  count: 247
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.509492, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.517399, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.141476, Class: 0.536050, Obj: 0.233663, No Obj: 0.445906, .5R: 0.013158, .75R: 0.000000,  count: 228
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.508862, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.520130, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.141554, Class: 0.485602, Obj: 0.325925, No Obj: 0.437379, .5R: 0.019444, .75R: 0.000000,  count: 360
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.510495, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.517940, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.102912, Class: 0.516984, Obj: 0.234837, No Obj: 0.446646, .5R: 0.012146, .75R: 0.000000,  count: 247
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.509330, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.237980, Class: 0.362382, Obj: 0.274758, No Obj: 0.521895, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.133031, Class: 0.484639, Obj: 0.397339, No Obj: 0.432579, .5R: 0.023256, .75R: 0.000000,  count: 258
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.509759, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.040685, Class: 0.519167, Obj: 0.661768, No Obj: 0.519440, .5R: 0.000000, .75R: 0.000000,  count: 16
Region 106 Avg IOU: 0.123790, Class: 0.483708, Obj: 0.318666, No Obj: 0.444071, .5R: 0.040909, .75R: 0.000000,  count: 220
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.511060, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.516401, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.107164, Class: 0.558063, Obj: 0.213281, No Obj: 0.458837, .5R: 0.022222, .75R: 0.000000,  count: 225
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.508111, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514576, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.119800, Class: 0.518396, Obj: 0.241112, No Obj: 0.455066, .5R: 0.043860, .75R: 0.000000,  count: 228
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513378, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.599444, Class: 0.330872, Obj: 0.408198, No Obj: 0.516033, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.141425, Class: 0.506007, Obj: 0.276262, No Obj: 0.446658, .5R: 0.028777, .75R: 0.000000,  count: 278
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.506951, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.213091, Class: 0.507746, Obj: 0.567490, No Obj: 0.519411, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.153787, Class: 0.478529, Obj: 0.273203, No Obj: 0.440456, .5R: 0.056911, .75R: 0.000000,  count: 246
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513133, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.516696, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.054560, Class: 0.449478, Obj: 0.138799, No Obj: 0.455609, .5R: 0.006024, .75R: 0.000000,  count: 166
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.511559, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.163129, Class: 0.354832, Obj: 0.614060, No Obj: 0.518049, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 106 Avg IOU: 0.123234, Class: 0.464238, Obj: 0.316034, No Obj: 0.436720, .5R: 0.014925, .75R: 0.000000,  count: 201
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.509335, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.515270, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.166243, Class: 0.515622, Obj: 0.269676, No Obj: 0.439781, .5R: 0.049080, .75R: 0.003067,  count: 326
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.505900, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.521239, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.122739, Class: 0.499186, Obj: 0.311890, No Obj: 0.439788, .5R: 0.023810, .75R: 0.000000,  count: 252
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.507558, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.517443, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.135858, Class: 0.502954, Obj: 0.314117, No Obj: 0.441836, .5R: 0.025478, .75R: 0.000000,  count: 314
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.511506, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.520086, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.106241, Class: 0.517655, Obj: 0.268052, No Obj: 0.448874, .5R: 0.022989, .75R: 0.000000,  count: 261
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.508327, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.520305, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.163819, Class: 0.471666, Obj: 0.397807, No Obj: 0.437042, .5R: 0.039474, .75R: 0.000000,  count: 304
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.508948, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.518938, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.069931, Class: 0.535483, Obj: 0.212948, No Obj: 0.449895, .5R: 0.006536, .75R: 0.000000,  count: 306
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.508862, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.138176, Class: 0.539082, Obj: 0.657193, No Obj: 0.518723, .5R: 0.000000, .75R: 0.000000,  count: 39
Region 106 Avg IOU: 0.097368, Class: 0.466991, Obj: 0.327466, No Obj: 0.435258, .5R: 0.012422, .75R: 0.000000,  count: 161
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.507991, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.518328, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.139547, Class: 0.512922, Obj: 0.256178, No Obj: 0.439548, .5R: 0.025000, .75R: 0.000000,  count: 360
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.512657, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514791, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.049855, Class: 0.474387, Obj: 0.183243, No Obj: 0.457261, .5R: 0.000000, .75R: 0.000000,  count: 167
1: 2705.916748, 2705.916748 avg, 0.000000 rate, 4053.773747 seconds, 128 images
Loaded: 0.000050 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.512246, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.517467, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.056515, Class: 0.487630, Obj: 0.166338, No Obj: 0.455031, .5R: 0.006849, .75R: 0.000000,  count: 146
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.510567, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.518217, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.119324, Class: 0.528673, Obj: 0.208409, No Obj: 0.440941, .5R: 0.021341, .75R: 0.000000,  count: 328
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.508770, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.517542, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.083891, Class: 0.474585, Obj: 0.250135, No Obj: 0.453289, .5R: 0.012658, .75R: 0.000000,  count: 237
